team,elo,squad_size,avg_age,median_age,age_std,avg_caps,total_caps,avg_goals,total_goals,avg_height_cm,height_std_cm,gk_count,df_count,mf_count,fw_count,gk_share,df_share,mf_share,fw_share,attack_depth,defense_depth,experience_index,tm_squad_size,tm_avg_age,wc_participations,foreigners_pct,market_value_eur,avg_market_value_eur,form_gf,form_ga,form_pts,host_flag,scenario_bias_prior,log_market_value,market_value_per_player,caps_per_player,goals_per_player
Congo DR,,27,29.040384615384614,29.395,3.637402898518921,30.384615384615383,790.0,3.0,81,181.0,7.031358332498784,4,8,8,7,0.14814814814814814,0.2962962962962963,0.2962962962962963,0.25925925925925924,11.0,14.0,15.492307692307692,,,,,,,,,,0,0.0,,,29.25925925925926,3.0
Cote D'Ivoire,,27,25.821923076923078,25.335,3.7811553993252054,27.153846153846153,706.0,3.074074074074074,83,182.92307692307693,7.858361543849082,4,8,6,9,0.14814814814814814,0.2962962962962963,0.2222222222222222,0.3333333333333333,12.0,14.0,13.884330484330484,,,,,,,,,,0,0.0,,,26.14814814814815,3.074074074074074
Croatia,1930.0,27,28.301538461538463,28.229999999999997,4.87535819591356,44.61538461538461,1160.0,5.703703703703703,154,184.76923076923077,6.507274036385388,4,8,9,6,0.14814814814814814,0.2962962962962963,0.3333333333333333,0.2222222222222222,10.5,14.0,22.878062678062676,26.0,28.4,7.0,92.3,387300000.0,,21.748242412526057,12.611927877381213,22.214284457335786,0,0.0,19.77471014706696,14344444.444444444,42.96296296296296,5.703703703703703
Curacao,1436.0,27,27.992692307692305,27.07,4.070701716109701,23.884615384615383,621.0,2.7037037037037037,73,181.92307692307693,6.3681901788377955,4,8,7,8,0.14814814814814814,0.2962962962962963,0.25925925925925924,0.2962962962962963,11.5,14.0,12.212678062678062,26.0,28.1,1.0,100.0,25780000.0,,21.6875465283054,15.539900529209593,16.358949555051904,0,0.0,17.065109594265074,954814.8148148148,23.0,2.7037037037037037
Czechia,1726.0,27,27.592692307692307,27.045,4.122236827444351,28.384615384615383,738.0,3.7037037037037037,100,185.73076923076923,7.88699026147588,4,9,7,7,0.14814814814814814,0.3333333333333333,0.25925925925925924,0.25925925925925924,10.5,15.0,14.562678062678062,26.0,27.7,2.0,34.6,188180000.0,,,,,0,0.0,19.052909514856953,6969629.62962963,27.333333333333332,3.7037037037037037
Ecuador,1933.0,27,26.049615384615382,25.65,4.444400954701752,29.615384615384617,770.0,3.5185185185185186,95,180.53846153846155,7.072373119290411,4,8,8,7,0.14814814814814814,0.2962962962962963,0.2962962962962963,0.25925925925925924,11.0,14.0,15.15954415954416,26.0,26.1,5.0,92.3,368700000.0,,13.789976011979395,6.033288528411332,20.68444063582224,0,0.0,19.725493865916604,13655555.555555556,28.51851851851852,3.5185185185185186
Egypt,1689.0,27,29.031538461538464,28.69,4.356871990139433,31.96153846153846,831.0,4.777777777777778,129,181.19230769230768,6.305675099585966,5,8,7,7,0.18518518518518517,0.2962962962962963,0.25925925925925924,0.25925925925925924,10.5,15.5,16.458547008547008,26.0,29.1,4.0,34.6,116480000.0,,22.665772962291115,12.50765158158593,30.517760500168464,0,0.0,18.573230150997816,4314074.074074074,30.77777777777778,4.777777777777778
England,2020.0,27,27.116923076923076,26.18,4.056235465779342,32.38461538461539,842.0,5.555555555555555,150,184.23076923076923,5.6519567748360675,4,9,7,7,0.14814814814814814,0.3333333333333333,0.25925925925925924,0.25925925925925924,10.5,15.0,16.74786324786325,26.0,27.2,17.0,19.2,1360000000.0,,24.161959397760963,5.438143290083109,26.572468607560143,0,0.0,21.030750537429665,50370370.37037037,31.185185185185187,5.555555555555555
France,2081.0,27,26.973461538461535,27.235,3.8160722658856367,30.884615384615383,803.0,3.740740740740741,101,184.92307692307693,6.144415851311355,4,9,7,7,0.14814814814814814,0.3333333333333333,0.25925925925925924,0.25925925925925924,10.5,15.0,15.816381766381765,26.0,27.0,17.0,73.1,1520000000.0,,26.356943026265675,12.136383340121071,25.49100068594996,0,0.0,21.141976172462492,56296296.2962963,29.74074074074074,3.740740740740741
Germany,1923.0,27,28.01923076923077,27.54,4.780614958832744,32.46153846153846,844.0,3.925925925925926,106,186.19230769230768,6.381342998267569,4,8,11,4,0.14814814814814814,0.2962962962962963,0.4074074074074074,0.14814814814814814,9.5,14.0,16.623361823361822,26.0,28.1,21.0,26.9,947000000.0,,29.01172875760993,11.82607749529061,26.807910656234853,0,0.0,20.668809652206317,35074074.074074075,31.25925925925926,3.925925925925926
Ghana,1503.0,27,26.947692307692307,26.91,4.069612568972439,21.884615384615383,569.0,2.5555555555555554,69,182.6153846153846,5.797081493834103,4,9,6,8,0.14814814814814814,0.3333333333333333,0.2222222222222222,0.2962962962962963,11.0,15.0,11.197863247863246,27.0,26.8,5.0,96.3,234600000.0,,13.932193746709789,15.667406802418483,11.94020293381939,0,0.0,19.273392498446224,8688888.888888888,21.074074074074073,2.5555555555555554
Haiti,1532.0,27,27.480384615384615,26.255000000000003,4.07280982199683,24.192307692307693,629.0,4.296296296296297,116,181.57692307692307,5.1627363048916335,4,9,5,9,0.14814814814814814,0.3333333333333333,0.18518518518518517,0.3333333333333333,11.5,15.0,12.525783475783477,26.0,27.6,2.0,96.2,55900000.0,,22.09900144462216,12.287954036567834,17.50142676574761,0,0.0,17.839074956014414,2070370.3703703703,23.296296296296298,4.296296296296297
IR Iran,,27,30.304230769230767,31.295,4.315618308494785,45.23076923076923,1176.0,5.518518518518518,149,183.65384615384616,6.541818142946548,4,9,8,6,0.14814814814814814,0.3333333333333333,0.2962962962962963,0.2222222222222222,10.0,15.0,23.167236467236467,,,,,,,,,,0,0.0,,,43.55555555555556,5.518518518518518
Iraq,1607.0,27,26.88769230769231,25.795,3.772672588701339,31.884615384615383,829.0,3.2962962962962963,89,183.03846153846155,4.878366687577058,4,9,7,7,0.14814814814814814,0.3333333333333333,0.25925925925925924,0.25925925925925924,10.5,15.0,16.271937321937322,26.0,26.9,2.0,61.5,21200000.0,,16.23420092731914,13.38393716149448,25.670056709816397,0,0.0,16.86951178681205,785185.1851851852,30.703703703703702,3.2962962962962963
Japan,1904.0,27,27.467307692307692,27.155,3.9867355645362856,31.03846153846154,807.0,4.222222222222222,114,181.6153846153846,5.99384299478672,4,9,9,5,0.14814814814814814,0.3333333333333333,0.3333333333333333,0.18518518518518517,9.5,15.0,15.941452991452993,26.0,27.5,8.0,88.5,270850000.0,,21.836355724421846,5.477630936177925,24.324276204009507,0,0.0,19.417075723760263,10031481.481481481,29.88888888888889,4.222222222222222
Jordan,1690.0,27,28.436923076923076,28.84,4.165076488354824,40.88461538461539,1063.0,3.3703703703703702,91,180.30769230769232,5.4609100396855546,4,9,8,6,0.14814814814814814,0.3333333333333333,0.2962962962962963,0.2222222222222222,10.0,15.0,20.77934472934473,26.0,28.5,1.0,53.8,20300000.0,,25.513035775036617,24.44420136570908,22.012630779560272,0,0.0,16.8261314932731,751851.8518518518,39.370370370370374,3.3703703703703702
Korea Republic,,27,28.038846153846155,28.490000000000002,3.7759590325352597,37.46153846153846,974.0,5.37037037037037,145,181.92307692307693,5.95934947404883,4,9,11,3,0.14814814814814814,0.3333333333333333,0.4074074074074074,0.1111111111111111,8.5,15.0,19.267806267806268,,,,,,,,,,0,0.0,,,36.074074074074076,5.37037037037037
Mexico,1860.0,27,27.871923076923075,28.490000000000002,4.640686172738483,47.57692307692308,1237.0,4.481481481481482,121,179.5,6.074537019394977,4,7,8,8,0.14814814814814814,0.25925925925925924,0.2962962962962963,0.2962962962962963,12.0,13.0,24.23660968660969,26.0,27.9,18.0,53.8,191850000.0,,28.885766495537233,13.093106982087047,37.39528328671508,1,0.0,19.072224379869642,7105555.555555556,45.81481481481482,4.481481481481482
Morocco,1822.0,27,26.571538461538463,25.845,4.832628843441376,27.192307692307693,707.0,3.7777777777777777,102,182.3846153846154,6.687761497403586,4,9,9,5,0.14814814814814814,0.3333333333333333,0.3333333333333333,0.18518518518518517,9.5,15.0,13.973931623931625,26.0,26.6,8.0,92.3,447700000.0,,45.417685791032326,6.964227548023129,52.77115583592143,0,0.0,19.91963392544483,16581481.481481481,26.185185185185187,3.7777777777777777
Netherlands,1961.0,27,27.74769230769231,27.07,3.809832865302422,33.11538461538461,861.0,5.703703703703703,154,185.15384615384616,7.384807689803747,4,8,8,7,0.14814814814814814,0.2962962962962963,0.2962962962962963,0.25925925925925924,11.0,14.0,17.128062678062676,26.0,27.8,12.0,92.3,754200000.0,,26.51764145756282,10.801178961343798,22.955461016778617,0,0.0,20.44116814411444,27933333.333333332,31.88888888888889,5.703703703703703
New Zealand,1585.0,27,28.090384615384615,27.095,4.6332351382326635,32.80769230769231,853.0,4.074074074074074,110,183.46153846153845,6.865745519494701,4,9,10,4,0.14814814814814814,0.3333333333333333,0.37037037037037035,0.14814814814814814,9.0,15.0,16.81125356125356,26.0,28.1,3.0,69.2,34350000.0,,16.471707869386098,15.497345603178914,11.049710397101112,0,0.0,17.352112605744715,1272222.2222222222,31.59259259259259,4.074074074074074
Norway,1912.0,27,26.77769230769231,26.93,3.147587403319954,30.807692307692307,801.0,4.518518518518518,122,187.15384615384616,6.379293426029613,4,8,10,5,0.14814814814814814,0.2962962962962963,0.37037037037037035,0.18518518518518517,10.0,14.0,15.855698005698006,26.0,26.8,4.0,84.6,589900000.0,,28.378036759028262,9.492811739730408,22.025822136968603,0,0.0,20.195463590668506,21848148.14814815,29.666666666666668,4.518518518518518
Panama,1737.0,27,30.39769230769231,29.82,3.771473248153625,59.26923076923077,1541.0,4.7407407407407405,128,181.57692307692307,8.746076043223393,4,11,8,4,0.14814814814814814,0.4074074074074074,0.2962962962962963,0.14814814814814814,8.0,17.0,30.108689458689458,26.0,30.5,2.0,92.3,34550000.0,,27.424173370620537,22.83400225831673,27.30850683191389,0,0.0,17.357918137121512,1279629.6296296297,57.074074074074076,4.7407407407407405
Paraguay,1833.0,27,28.974615384615387,29.645,4.568410866609289,26.5,689.0,2.0,54,181.6153846153846,8.134258039068701,4,8,9,6,0.14814814814814814,0.2962962962962963,0.3333333333333333,0.2222222222222222,10.5,14.0,13.45,26.0,29.1,10.0,88.5,153650000.0,,14.048371299275114,13.625524195163063,15.714368630252777,0,0.0,18.850187853049064,5690740.740740741,25.51851851851852,2.0
Portugal,1984.0,27,28.00846153846154,26.84,4.261452045777534,44.65384615384615,1161.0,9.62962962962963,260,181.5,6.865857557508747,4,9,6,8,0.14814814814814814,0.3333333333333333,0.2222222222222222,0.2962962962962963,11.0,15.0,23.28988603988604,26.0,28.1,10.0,80.8,1010000000.0,,27.30611561273482,10.616203783488908,26.060988288037688,0,0.0,20.733216168789678,37407407.40740741,43.0,9.62962962962963
Qatar,1425.0,27,29.480384615384615,29.57,4.907014147743396,60.38461538461539,1570.0,8.037037037037036,217,179.3846153846154,6.261481761225041,4,9,5,9,0.14814814814814814,0.3333333333333333,0.18518518518518517,0.3333333333333333,11.5,15.0,30.996011396011397,26.0,29.5,2.0,3.8,19930000.0,,13.467384370070368,18.401778916058394,13.164308816366175,0,0.0,16.80773674236459,738148.1481481482,58.148148148148145,8.037037037037036
Saudi Arabia,1568.0,27,28.48846153846154,27.09,3.6146631293194598,35.65384615384615,927.0,3.5925925925925926,97,178.42307692307693,6.007815422751116,4,10,6,7,0.14814814814814814,0.37037037037037035,0.2222222222222222,0.25925925925925924,10.0,16.0,18.186182336182338,26.0,28.5,7.0,3.8,40680000.0,,21.060118820784524,20.528104052815163,26.214544643669264,0,0.0,17.521247153726737,1506666.6666666667,34.333333333333336,3.5925925925925926
Scotland,1767.0,27,29.174999999999997,29.884999999999998,4.944099715822891,37.42307692307692,973.0,3.6666666666666665,99,184.46153846153845,5.994869601456026,4,10,6,7,0.14814814814814814,0.37037037037037035,0.2222222222222222,0.25925925925925924,10.0,16.0,19.078205128205127,26.0,29.2,9.0,69.2,170250000.0,,20.947481485339438,13.33151664531453,18.278914117963268,0,0.0,18.95277850886761,6305555.555555556,36.03703703703704,3.6666666666666665
Senegal,1878.0,27,27.059230769230773,26.665,5.427540085951956,39.07692307692308,1016.0,4.888888888888889,132,183.96153846153845,6.959774532157026,4,8,7,8,0.14814814814814814,0.2962962962962963,0.25925925925925924,0.2962962962962963,11.5,14.0,20.027350427350427,26.0,27.1,4.0,100.0,478100000.0,,33.2367567906114,11.366741742431604,34.58112861819052,0,0.0,19.985330475687945,17707407.407407407,37.629629629629626,4.888888888888889
South Africa,1524.0,27,26.78076923076923,25.865,4.24921820863737,20.692307692307693,538.0,2.4814814814814814,67,178.84615384615384,7.187168052535341,4,10,5,8,0.14814814814814814,0.37037037037037035,0.18518518518518517,0.2962962962962963,10.5,16.0,10.594301994301995,26.0,26.8,4.0,26.9,49250000.0,,19.254363628201688,13.3329739261062,23.396240727793412,0,0.0,17.71241994588694,1824074.0740740742,19.925925925925927,2.4814814814814814
Spain,2165.0,27,26.720769230769232,27.025,3.8804720569301088,28.576923076923077,743.0,4.37037037037037,118,181.73076923076923,7.028841681572813,4,8,7,8,0.14814814814814814,0.2962962962962963,0.25925925925925924,0.2962962962962963,11.5,14.0,14.725498575498575,26.0,26.8,18.0,34.6,1220000000.0,,30.517067185450742,9.535261161676193,27.212265282592128,0,0.0,20.92211669651125,45185185.18518519,27.51851851851852,4.37037037037037
Sweden,1719.0,27,27.529230769230768,27.66,3.4727993585312964,19.807692307692307,515.0,2.4444444444444446,66,186.19230769230768,6.033368749010658,4,11,7,5,0.14814814814814814,0.4074074074074074,0.25925925925925924,0.18518518518518517,8.5,17.0,10.148290598290597,26.0,27.6,13.0,88.5,406080000.0,,20.025900314060543,18.988675626542634,15.519568589246527,0,0.0,19.822060744952864,15040000.0,19.074074074074073,2.4444444444444446
Switzerland,1889.0,27,28.280384615384612,28.884999999999998,3.7738166153317323,43.53846153846154,1132.0,4.62962962962963,125,185.23076923076923,4.236108518984772,4,8,8,7,0.14814814814814814,0.2962962962962963,0.2962962962962963,0.25925925925925924,11.0,14.0,22.232193732193732,26.0,28.3,13.0,92.3,332500000.0,,23.77562736288795,12.582983580641514,19.69601630126871,0,0.0,19.6221504210677,12314814.814814815,41.925925925925924,4.62962962962963
Tunisia,1636.0,27,26.617692307692305,26.85,3.969521187944267,22.307692307692307,580.0,1.6296296296296295,44,184.57692307692307,4.768002323179604,4,10,8,5,0.14814814814814814,0.37037037037037035,0.2962962962962963,0.18518518518518517,9.0,16.0,11.316809116809116,26.0,26.7,7.0,76.9,69950000.0,,22.875431283456187,16.878612925209488,25.96585545104379,0,0.0,18.06329127337169,2590740.7407407407,21.48148148148148,1.6296296296296295
Turkiye,,27,27.643846153846155,27.48,3.907031688556495,37.42307692307692,973.0,3.6296296296296298,98,183.76923076923077,6.819429256515192,4,9,5,9,0.14814814814814814,0.3333333333333333,0.18518518518518517,0.3333333333333333,11.5,15.0,19.074501424501424,26.0,27.7,3.0,42.3,473700000.0,,,,,0,0.0,19.97608477000502,17544444.444444444,36.03703703703704,3.6296296296296298
USA,,27,26.878076923076925,26.765,3.479917262500094,37.0,962.0,4.666666666666667,126,183.3846153846154,7.211529230763328,4,10,6,7,0.14814814814814814,0.37037037037037035,0.2222222222222222,0.25925925925925924,10.0,16.0,18.966666666666665,,,,,,,,,,1,0.0,,,35.629629629629626,4.666666666666667
Uruguay,1892.0,27,28.715,27.814999999999998,3.2546277820973626,35.65384615384615,927.0,2.7777777777777777,75,180.46153846153845,6.256073971626422,4,7,11,5,0.14814814814814814,0.25925925925925924,0.4074074074074074,0.18518518518518517,10.5,13.0,18.104700854700855,26.0,28.8,16.0,100.0,359300000.0,,10.388613660533197,7.886549410573746,14.598590231683623,0,0.0,19.699668254866936,13307407.407407407,34.333333333333336,2.7777777777777777
Uzbekistan,1727.0,27,28.484615384615385,28.935000000000002,4.272770745798776,39.34615384615385,1023.0,4.925925925925926,133,181.80769230769232,5.946556857673059,4,10,10,3,0.14814814814814814,0.37037037037037035,0.37037037037037035,0.1111111111111111,8.0,16.0,20.165669515669517,26.0,28.5,1.0,42.3,85330000.0,,14.924374652096509,10.29747185796617,17.719329208538202,0,0.0,18.262036662231974,3160370.3703703703,37.888888888888886,4.925925925925926
